Sno,variables,Type,Trend_Business,Trend_sign
1,LAST_1_MONTH_CUSTOMERS,Numerical,Decreasing,-1
2,LAST_2_MONTH_CUSTOMERS,Numerical,Decreasing,-1
3,LAST_3_MONTH_CUSTOMERS,Numerical,Decreasing,-1
4,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,Numerical,Decreasing,-1
5,DELETED_CUSTOMERS,Numerical,Increasing,1
6,LAST_1_MONTH_BOOKS,Numerical,Decreasing,-1
7,LAST_2_MONTH_BOOKS,Numerical,Decreasing,-1
8,LAST_3_MONTH_BOOKS,Numerical,Decreasing,-1
9,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,Numerical,Decreasing,-1
10,DELETED_BOOKS,Numerical,Increasing,1
11,TOTAL_APPS,Numerical,Decreasing,-1
12,BUSINESS_APPS,Numerical,Decreasing,-1
13,FINANCE_APPS,Numerical,Decreasing,-1
14,BUSINESS_TOTALAPPS_PROPORTION,Numerical,Decreasing,-1
15,FINANCE_TOTALAPPS_PROPORTION,Numerical,Decreasing,-1
16,ACQUISITION_CHANNEL,Categorical,Decreasing,-1
18,DEVICE_BRAND_GD,Categorical,Decreasing,-1
20,DEVICE_CARRIER_GROUP,Categorical,Decreasing,-1
21,PRICE,Numerical,Decreasing,-1
22,BUSINESS_CARD_FLAG,Numerical,Decreasing,-1